scenario_id,category,datasets_json,omega,K,N_min,method,ci_low,ci_high,ci_width,clipped,valid,runtime_ms,width_ratio_vs_sim,jaccard_vs_sim,overlap_vs_sim,endpoint_abs_err_vs_sim,center_abs_err_vs_sim
7,single,"[[188, 112, 100]]",1.0,1053,200,Established CI #1,201.52552331102936,219.781067090934,18.255543779904627,False,True,0.2087999600917101,1.0141968766613683,0.8616954056813212,16.781067090933988,2.693409598036652,1.3467047990183119
7,single,"[[188, 112, 100]]",1.0,1053,200,Established CI #2,203.0,223.0,20.0,False,True,2.6307000080123544,1.1111111111111112,0.9,18.0,2.0,1.0
8,single,"[[181, 93, 53]]",1.0,1589,221,Simulation (reference),277.0,377.0,100.0,False,True,491.758199990727,1.0,1.0,100.0,0.0,0.0
8,single,"[[181, 93, 53]]",1.0,1589,221,ehp CI,278.0,377.0,99.0,False,True,1.1300999904051423,0.99,0.99,99.0,1.0,0.5
8,single,"[[181, 93, 53]]",1.0,1589,221,Established CI #1,273.1770868812771,365.10747806554656,91.93039118426947,False,True,0.4563000984489918,0.9193039118426947,0.8486323049401866,88.10747806554656,15.71543505317635,7.857717526588203
8,single,"[[181, 93, 53]]",1.0,1589,221,Established CI #2,277.0,380.0,103.0,False,True,4.139299970120192,1.03,0.970873786407767,100.0,3.0,1.5
9,single,"[[127, 71, 58]]",1.0,1000,140,Simulation (reference),145.0,171.0,26.0,False,True,264.55339998938143,1.0,1.0,26.0,0.0,0.0
9,single,"[[127, 71, 58]]",1.0,1000,140,ehp CI,145.0,171.0,26.0,False,True,0.5403000395745039,1.0,1.0,26.0,0.0,0.0
9,single,"[[127, 71, 58]]",1.0,1000,140,Established CI #1,143.3497954655061,168.0371578951924,24.68736242968629,False,True,0.19209994934499264,0.9495139396033188,0.8331641043180464,23.037157895192394,4.613046639301501,2.3065233196507506
9,single,"[[127, 71, 58]]",1.0,1000,140,Established CI #2,145.0,173.0,28.0,False,True,2.7333999751135707,1.0769230769230769,0.9285714285714286,26.0,2.0,1.0
10,single,"[[89, 130, 31]]",1.0,1867,188,Simulation (reference),298.0,498.0,200.0,False,True,540.3703999472782,1.0,1.0,200.0,0.0,0.0
10,single,"[[89, 130, 31]]",1.0,1867,188,ehp CI,297.0,498.0,201.0,False,True,1.1538000544533134,1.005,0.9950248756218906,200.0,1.0,0.5
10,single,"[[89, 130, 31]]",1.0,1867,188,Established CI #1,289.3976537850322,466.5218070722064,177.12415328717418,False,True,0.206399941816926,0.885620766435871,0.8078615132091669,168.5218070722064,40.08053914276138,20.04026957138069
10,single,"[[89, 130, 31]]",1.0,1867,188,Established CI #2,296.0,502.0,206.0,False,True,2.9212000081315637,1.03,0.970873786407767,200.0,6.0,1.0
11,single,"[[108, 52, 26]]",1.0,1080,134,Simulation (reference),177.0,290.0,113.0,False,True,285.3931999998167,1.0,1.0,113.0,0.0,0.0
11,single,"[[108, 52, 26]]",1.0,1080,134,ehp CI,175.0,288.0,113.0,False,True,0.5970000056549907,1.0,0.9652173913043478,111.0,4.0,2.0
11,single,"[[108, 52, 26]]",1.0,1080,134,Established CI #1,169.87224666710858,266.98430428627415,97.11205761916557,False,True,0.18829992040991783,0.8593987399926156,0.7490717322991516,89.98430428627415,30.143449046617263,15.071724523308632
11,single,"[[108, 52, 26]]",1.0,1080,134,Established CI #2,175.0,291.0,116.0,False,True,2.4382000556215644,1.0265486725663717,0.9741379310344828,113.0,3.0,0.5
12,single,"[[61, 198, 57]]",1.0,1060,202,Simulation (reference),204.0,229.0,25.0,False,True,278.5854999674484,1.0,1.0,25.0,0.0,0.0
12,single,"[[61, 198, 57]]",1.0,1060,202,ehp CI,204.0,229.0,25.0,False,True,0.532899983227253,1.0,1.0,25.0,0.0,0.0
12,single,"[[61, 198, 57]]",1.0,1060,202,Established CI #1,202.0,223.653382491207,21.653382491206997,False,True,0.1838000025600195,0.8661352996482798,0.7279030552298887,19.653382491206997,7.346617508793003,3.673308754396487
12,single,"[[61, 198, 57]]",1.0,1060,202,Established CI #2,203.0,232.0,29.0,False,True,2.3107000160962343,1.16,0.8620689655172413,25.0,4.0,1.0
13,single,"[[98, 114, 44]]",1.0,1270,168,Simulation (reference),217.0,309.0,92.0,False,True,317.6638000877574,1.0,1.0,92.0,0.0,0.0
13,single,"[[98, 114, 44]]",1.0,1270,168,ehp CI,217.0,309.0,92.0,False,True,0.646200031042099,1.0,1.0,92.0,0.0,0.0
13,single,"[[98, 114, 44]]",1.0,1270,168,Established CI #1,213.20521721025509,297.85387445455757,84.64865724430248,False,True,0.1846000086516142,0.9200941004815487,0.844032128889729,80.85387445455757,14.940908335187345,7.470454167593687
13,single,"[[98, 114, 44]]",1.0,1270,168,Established CI #2,217.0,312.0,95.0,False,True,2.430699998512864,1.0326086956521738,0.968421052631579,92.0,3.0,1.5
14,single,"[[95, 37, 16]]",1.0,1099,116,Simulation (reference),161.0,335.0,174.0,False,True,298.0526000028476,1.0,1.0,174.0,0.0,0.0
14,single,"[[95, 37, 16]]",1.0,1099,116,ehp CI,163.0,338.0,175.0,False,True,0.5944999866187572,1.0057471264367817,0.9717514124293786,172.0,5.0,2.5
14,single,"[[95, 37, 16]]",1.0,1099,116,Established CI #1,156.1872946742947,292.0847969816555,135.89750230736078,False,True,0.175100052729249,0.7810201282032229,0.7330843562983179,131.08479698165547,47.72790834404984,23.863954172024933
14,single,"[[95, 37, 16]]",1.0,1099,116,Established CI #2,163.0,340.0,177.0,False,True,2.4254999589174986,1.0172413793103448,0.9608938547486033,172.0,7.0,3.5
15,single,"[[173, 102, 37]]",1.0,2385,238,Simulation (reference),387.0,619.0,232.0,False,True,704.1345000034198,1.0,1.0,232.0,0.0,0.0
15,single,"[[173, 102, 37]]",1.0,2385,238,ehp CI,386.0,619.0,233.0,False,True,1.885299920104444,1.0043103448275863,0.9957081545064378,232.0,1.0,0.5
15,single,"[[173, 102, 37]]",1.0,2385,238,Established CI #1,377.355760946895,586.9635660171194,209.60780507022446,False,True,0.31539995688945055,0.9034819184061399,0.8275122419664819,199.96356601711943,41.68067303598559,20.840336517992796
15,single,"[[173, 102, 37]]",1.0,2385,238,Established CI #2,385.0,624.0,239.0,False,True,3.5429999697953463,1.0301724137931034,0.9707112970711297,232.0,7.0,1.5
16,single,"[[123, 163, 43]]",1.0,2332,243,Simulation (reference),383.0,587.0,204.0,False,True,680.6273000547662,1.0,1.0,204.0,0.0,0.0
16,single,"[[123, 163, 43]]",1.0,2332,243,ehp CI,385.0,589.0,204.0,False,True,1.0730000212788582,1.0,0.9805825242718447,202.0,4.0,2.0
16,single,"[[123, 163, 43]]",1.0,2332,243,Established CI #1,377.1383534673887,563.9539640188806,186.8156105514919,False,True,0.2101999707520008,0.9157627968210387,0.862253618079573,180.95396401888058,28.90768251373072,14.45384125686536
16,single,"[[123, 163, 43]]",1.0,2332,243,Established CI #2,384.0,593.0,209.0,False,True,2.688799984753132,1.0245098039215685,0.9666666666666667,203.0,7.0,3.5
17,single,"[[173, 153, 68]]",1.0,1947,258,Simulation (reference),342.0,453.0,111.0,False,True,577.4706000229344,1.0,1.0,111.0,0.0,0.0
17,single,"[[173, 153, 68]]",1.0,1947,258,ehp CI,343.0,454.0,111.0,False,True,0.9620999917387962,1.0,0.9821428571428571,110.0,2.0,1.0
17,single,"[[173, 153, 68]]",1.0,1947,258,Established CI #1,338.2470938093637,443.57613448957756,105.32904068021384,False,True,0.2031000331044197,0.9489102763983228,0.8851726536740737,101.57613448957756,13.176771701058726,6.588385850529335
17,single,"[[173, 153, 68]]",1.0,1947,258,Established CI #2,342.0,457.0,115.0,False,True,2.5612000608816743,1.0360360360360361,0.9652173913043478,111.0,4.0,2.0
18,single,"[[51, 70, 19]]",1.0,1000,102,Simulation (reference),142.0,273.0,131.0,False,True,267.46739994268864,1.0,1.0,131.0,0.0,0.0
